"";"sofifa_id";"short_name";"age";"height_cm";"weight_kg";"overall";"value_eur";"wage_eur";"pace";"shooting";"passing";"dribbling";"defending";"physic";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_standing_tackle";"defending_sliding_tackle";"right_foot";"Role"
"52";"#207865";"Marquinhos";26;183;75;85;44000000;115000;72;41;73;70;87;78;68;33;84;82;31;64;55;32;82;79;70;73;69;85;67;61;89;80;75;35;80;86;59;68;47;86;87;87;1;"arriere_central"
"53";"#220440";"C. Lenglet";25;186;81;85;44500000;190000;74;45;67;65;87;81;55;39;83;78;37;57;59;31;74;76;76;72;61;84;60;58;85;75;83;46;80;87;54;66;49;82;86;81;0;"arriere_central"
"54";"#223848";"S. Milinković-Savić";25;191;76;85;49000000;94000;69;79;80;83;79;85;64;80;86;85;74;86;78;75;85;88;66;72;64;83;63;83;85;85;88;80;79;78;79;85;56;84;79;74;1;"Milieu__droit"
"55";"#232363";"M. Škriniar";25;188;80;85;44500000;130000;69;41;59;66;87;81;40;42;82;73;40;67;34;30;69;69;70;68;48;83;51;50;78;73;84;30;86;86;30;57;56;81;87;83;1;"arriere_central"
"56";"#202556";"M. Depay";26;176;78;85;48500000;115000;86;83;81;84;32;80;83;83;65;81;74;85;85;86;74;84;85;87;80;82;79;87;76;81;81;83;75;28;84;84;73;78;31;20;1;"Attaquant"
"57";"#212188";"T. Werner";24;180;76;85;49500000;135000;91;85;69;84;35;71;69;88;78;78;86;84;70;58;55;85;93;89;83;87;76;85;75;83;67;78;63;37;88;65;78;82;20;19;1;"Attaquant"
"58";"#231866";"Rodri";24;191;82;85;44000000;145000;65;68;77;77;82;79;63;64;75;85;59;76;65;54;82;82;66;65;68;82;69;74;69;84;79;76;76;83;75;82;46;85;84;78;1;"Milieu_central"
"59";"#206113";"S. Gnabry";24;175;75;85;47500000;100000;82;83;78;86;43;70;79;85;42;79;83;87;74;62;74;83;90;76;86;85;88;86;65;78;69;81;63;38;85;83;68;80;44;43;1;"Milieu__droit"
"60";"#192505";"R. Lukaku";27;191;94;85;45000000;165000;81;83;76;75;38;84;73;86;85;79;77;78;78;66;71;78;77;84;60;86;46;87;71;73;95;74;71;27;86;78;78;83;41;30;0;"Attaquant"
"61";"#198706";"Luis Alberto";27;183;74;85;44000000;99000;74;76;86;85;58;59;76;77;49;90;76;86;86;81;89;88;76;72;81;80;74;77;53;75;64;76;29;55;80;88;56;78;68;45;1;"Milieu__gauche"
"62";"#201399";"M. Icardi";27;181;75;85;45000000;135000;73;85;65;78;36;68;47;90;88;76;85;76;76;48;54;82;74;73;73;86;75;85;93;66;72;71;56;22;92;72;82;83;24;20;1;"Attaquant"
"63";"#175943";"D. Mertens";33;169;61;85;24000000;115000;86;82;80;89;35;51;79;84;40;82;70;88;82;79;74;89;90;82;94;86;92;80;58;70;37;81;59;36;85;83;79;81;40;40;1;"Attaquant"
"64";"#180206";"M. Pjanić";30;178;72;85;35500000;220000;67;68;87;85;75;67;81;56;60;90;72;86;86;92;87;89;68;66;75;84;81;78;59;81;59;82;70;78;68;88;79;86;76;70;1;"Milieu__droit"
"65";"#181291";"G. Wijnaldum";29;175;69;85;37000000;150000;76;75;81;86;78;79;72;75;78;88;73;85;78;73;81;88;77;76;84;86;88;78;81;93;74;73;75;79;79;79;74;86;79;69;1;"Milieu__gauche"
"66";"#182493";"D. Godín";34;187;78;85;14500000;135000;57;48;64;61;87;79;52;42;85;79;47;53;49;49;70;74;59;55;57;74;53;67;89;62;85;43;85;87;48;52;50;80;86;84;1;"arriere_central"
"67";"#184087";"T. Alderweireld";31;186;81;85;28500000;130000;63;55;72;67;87;79;64;45;82;79;38;62;63;69;82;75;60;65;59;85;62;78;82;78;79;58;81;85;52;62;58;86;89;85;1;"arriere_central"
"68";"#184344";"L. Bonucci";33;190;85;85;18000000;110000;60;58;69;70;87;77;44;48;84;77;58;69;56;61;84;75;58;62;60;84;55;74;85;66;79;65;82;90;38;74;70;86;86;80;1;"arriere_central"
"69";"#188350";"M. Reus";31;180;71;85;34000000;94000;80;86;84;85;45;63;85;86;44;85;89;85;88;86;76;87;82;78;83;85;82;87;70;67;66;83;51;48;86;84;91;85;37;45;1;"Milieu__droit"
"70";"#188377";"K. Walker";30;183;70;85;30500000;170000;92;63;76;77;80;82;81;51;74;78;57;79;76;71;76;79;90;94;66;84;69;86;83;89;79;69;78;80;68;69;63;75;83;82;1;"arriere_droit"
"71";"#189513";"Parejo";31;182;74;85;33000000;59000;50;83;90;81;71;69;86;83;61;92;72;82;88;93;90;86;52;49;63;80;72;81;49;78;70;88;58;81;82;89;88;85;70;69;1;"Milieu__droit"
"72";"#190460";"C. Eriksen";28;181;76;85;39000000;155000;72;81;88;81;53;63;86;77;52;90;80;77;89;85;87;90;74;70;77;84;80;84;49;92;56;89;46;56;82;90;67;86;57;22;1;"Milieu_central"
"73";"#193747";"Koke";28;176;77;85;38000000;92000;67;75;85;81;76;80;85;72;61;87;56;80;85;76;85;84;68;66;73;88;80;83;63;94;75;80;79;80;82;85;59;84;80;70;1;"Milieu__droit"
"74";"#198219";"L. Insigne";29;163;59;85;37500000;120000;88;78;83;91;36;44;83;75;59;83;74;90;87;77;78;93;92;84;93;80;93;78;50;70;34;84;34;26;81;85;74;83;24;22;1;"Ailier_gauche"
"75";"#204485";"R. Mahrez";29;179;67;85;37500000;210000;83;79;81;90;38;59;83;79;48;80;76;90;84;78;75;91;87;79;92;81;88;79;60;76;55;80;48;39;80;84;70;84;31;22;0;"Ailier_droit"
"76";"#239085";"E. Haaland";19;194;88;84;45000000;56000;84;87;63;76;43;85;46;87;67;74;82;75;77;62;49;78;80;88;75;83;67;93;70;78;91;83;82;41;86;68;80;83;38;30;0;"Attaquant"
"77";"#231478";"L. Martínez";22;174;81;84;44500000;130000;83;82;71;85;48;82;56;86;84;78;83;87;78;43;73;84;84;83;86;84;78;80;88;77;83;74;86;45;85;77;74;83;31;44;1;"Attaquant"
"78";"#230142";"Oyarzabal";23;181;79;84;42500000;47000;81;82;80;84;41;63;82;84;60;81;73;85;74;71;73;84;80;81;80;81;79;80;72;82;57;81;52;29;83;85;83;75;32;30;0;"Ailier_gauche"
"79";"#209658";"L. Goretzka";25;189;76;84;39500000;105000;78;78;80;82;77;85;75;79;82;84;69;82;76;75;79;85;81;76;76;87;70;79;78;83;88;82;81;79;83;82;60;82;79;75;1;"Milieu__gauche"
"80";"#210035";"Grimaldo";24;171;69;84;35500000;20000;85;65;79;84;77;71;84;52;66;81;61;84;85;81;79;83;86;84;84;83;86;79;64;90;63;79;69;81;75;68;54;83;78;79;0;"arriere_gauche"
"81";"#211300";"A. Martial";24;184;76;84;41000000;155000;89;83;74;87;41;72;72;85;71;80;75;89;84;54;63;87;88;90;83;82;79;83;70;77;76;79;54;42;84;77;81;82;39;36;1;"Attaquant"
"82";"#216460";"J. Giménez";25;185;80;84;36000000;70000;67;45;53;54;86;83;47;37;78;70;30;50;36;44;62;60;65;69;54;79;40;72;90;64;90;48;89;85;24;27;38;75;87;86;1;"arriere_central"
"83";"#226790";"W. Ndidi";23;183;74;84;36500000;96000;71;62;68;74;87;84;50;50;76;79;66;72;58;58;75;78;70;72;69;87;67;80;90;92;78;72;87;90;67;67;55;80;89;85;1;"Milieu_central"
"84";"#208421";"Saúl";25;184;76;84;38500000;77000;68;79;79;81;78;79;69;78;83;85;76;81;73;60;83;85;67;69;73;84;69;82;80;87;77;81;76;79;82;83;68;83;78;77;0;"Milieu__gauche"
"85";"#198176";"S. de Vrij";28;189;78;84;30500000;130000;68;41;62;68;86;75;49;25;82;73;27;66;45;16;71;73;69;68;61;81;59;65;76;64;78;60;80;86;32;64;41;82;87;85;1;"arriere_central"
"86";"#200458";"L. Digne";26;178;74;84;31500000;110000;78;69;80;79;80;76;87;60;71;81;68;78;83;83;73;83;78;78;69;83;78;83;92;85;69;76;76;82;72;74;60;80;83;84;0;"arriere_gauche"
"87";"#209889";"R. Guerreiro";26;170;71;84;36500000;86000;74;78;84;87;73;57;82;80;37;87;79;87;85;82;78;88;82;67;87;84;90;79;53;77;49;80;52;81;79;84;44;86;76;78;0;"Milieu__gauche"
"88";"#209989";"T. Partey";27;185;77;84;35000000;81000;71;74;81;81;82;85;74;68;68;86;56;84;69;70;84;83;68;74;75;85;50;86;83;92;82;85;84;84;73;84;49;86;85;81;1;"Milieu__gauche"
"89";"#212462";"Alex Telles";27;181;71;84;31000000;23000;85;74;83;81;79;76;89;65;67;83;67;82;87;79;87;82;84;85;73;83;70;87;80;91;68;83;78;80;75;76;81;78;81;79;0;"arriere_gauche"
"90";"#216352";"M. Brozović";27;181;68;84;32000000;125000;63;74;80;81;79;78;72;69;70;83;65;81;79;74;84;85;62;63;72;75;76;80;67;94;69;84;84;81;70;80;69;82;81;79;1;"Milieu__gauche"
"91";"#135507";"Fernandinho";35;179;67;84;9500000;110000;64;72;78;78;85;79;68;66;71;86;73;76;70;72;81;82;67;62;69;88;77;83;84;78;76;78;87;89;70;73;61;81;86;83;1;"arriere_central"
"92";"#146536";"Jesús Navas";34;172;60;84;11000000;43000;87;69;79;83;80;58;83;66;75;81;75;84;82;46;75;83;90;84;81;84;84;75;63;81;39;70;75;83;81;80;56;81;78;80;1;"arriere_droit"
"93";"#176266";"Lucas Leiva";33;179;78;84;15000000;83000;60;66;76;78;83;71;63;62;72;82;59;77;74;47;81;79;62;58;77;82;80;77;81;80;61;66;83;87;66;81;61;86;84;81;1;"Milieu_central"
"94";"#177413";"A. Witsel";31;186;81;84;23500000;79000;63;73;81;79;82;82;69;71;84;90;77;79;71;68;85;83;62;64;74;82;70;76;78;83;84;71;77;83;75;81;76;92;80;81;1;"Milieu_central"
"95";"#184432";"Azpilicueta";30;178;77;84;24500000;120000;67;55;77;72;84;76;81;46;75;78;51;67;68;58;80;77;68;66;72;86;73;68;79;81;70;60;86;85;62;74;66;78;85;85;1;"arriere_droit"
"96";"#192629";"Iago Aspas";32;176;67;84;25000000;46000;82;85;78;86;35;63;80;89;77;79;83;87;79;80;68;86;78;86;90;84;72;79;66;69;60;81;63;39;84;79;82;85;21;18;0;"Attaquant"
"97";"#193165";"J. Corona";27;173;62;84;32500000;25000;84;68;78;88;77;60;84;69;71;79;75;89;85;67;68;86;88;81;91;84;87;66;71;89;39;63;73;78;79;78;68;85;77;76;1;"arriere_droit"
"98";"#193474";"I. Gueye";30;174;66;84;25500000;105000;69;61;71;78;85;79;60;53;69;81;32;76;49;61;77;79;70;69;81;83;81;80;89;91;69;66;86;89;69;68;54;83;90;83;1;"Milieu__droit"
"99";"#197445";"D. Alaba";28;180;78;84;27500000;105000;77;70;81;79;83;76;80;60;76;85;67;77;77;85;79;83;78;77;76;88;77;82;83;75;76;78;74;84;73;78;79;84;83;82;0;"arriere_central"
"100";"#197965";"Pizzi";30;177;72;84;29500000;25000;75;78;83;83;65;68;80;78;45;85;78;83;83;77;83;85;78;73;77;83;77;76;67;85;59;77;67;72;85;86;78;85;67;52;1;"Milieu_central"
"101";"#199451";"W. Ben Yedder";29;170;68;84;31000000;91000;84;83;77;87;39;63;74;88;74;82;84;87;80;76;66;87;86;82;91;86;89;83;79;68;63;71;55;44;90;80;80;84;33;26;1;"Attaquant"
"102";"#200647";"J. Iličić";32;190;79;84;25000000;92000;70;86;84;85;43;68;82;85;58;86;83;88;85;85;74;88;71;69;71;84;66;88;34;69;74;89;58;46;85;87;78;80;32;26;0;"Ailier_droit"
"103";"#204838";"R. Jiménez";29;188;81;84;31000000;140000;78;82;76;82;49;83;73;84;85;81;82;84;75;51;75;83;73;82;75;83;68;83;75;86;84;74;81;53;84;78;92;81;38;30;1;"Attaquant"
"104";"#207863";"Felipe";31;190;83;84;23000000;74000;62;41;58;61;86;86;45;39;84;73;44;57;32;30;69;63;58;66;65;83;55;46;90;76;89;41;92;87;34;50;47;75;86;83;1;"arriere_central"
"105";"#211256";"N. Tagliafico";27;172;65;84;27500000;27000;82;56;73;76;82;79;82;57;84;78;44;73;68;40;67;77;81;82;77;84;82;66;90;85;73;47;84;82;70;69;46;82;80;81;0;"arriere_gauche"
"106";"#231443";"O. Dembélé";23;178;67;83;35500000;175000;92;77;77;87;36;56;81;75;43;78;76;89;82;64;76;84;93;92;89;78;81;83;58;68;51;76;54;36;77;76;75;80;30;33;0;"Ailier_droit"
"107";"#211688";"Gayà";25;172;66;83;30500000;46000;84;61;78;80;79;70;81;61;58;82;58;79;80;49;75;82;81;86;81;83;79;62;53;84;63;59;76;80;77;75;52;76;82;84;0;"arriere_gauche"
"108";"#225100";"J. Gomez";23;188;77;83;31000000;93000;82;30;66;69;83;80;69;26;74;78;24;67;41;29;65;73;78;85;65;83;66;41;76;74;83;26;81;84;51;60;26;74;85;82;1;"arriere_central"
"109";"#228618";"F. Mendy";25;180;73;83;30500000;160000;92;64;76;79;78;82;78;63;72;80;50;80;72;35;78;78;91;92;80;82;78;69;78;88;79;64;82;79;80;75;49;78;81;80;0;"arriere_gauche"
"110";"#229880";"A. Wan-Bissaka";22;183;72;83;30500000;115000;86;51;68;80;82;74;74;44;58;74;43;82;68;45;56;77;84;88;85;82;73;70;62;79;71;46;78;83;69;64;56;76;85;90;1;"arriere_droit"
"111";"#235212";"A. Hakimi";21;181;73;83;35000000;92000;94;70;76;82;72;76;81;73;63;81;60;84;68;55;72;83;93;95;77;81;74;77;75;86;73;63;72;78;75;74;46;79;74;76;1;"Milieu__droit"
"112";"#210413";"A. Romagnoli";25;188;78;83;30000000;51000;70;40;56;69;85;78;36;30;78;75;28;68;36;24;71;76;68;72;59;80;53;64;79;71;79;46;85;86;31;45;34;76;86;82;0;"arriere_central"
"113";"#229261";"D. Zakaria";23;190;80;83;30500000;45000;83;64;75;77;81;85;68;66;67;83;35;78;64;46;76;80;81;85;68;84;64;74;65;80;87;63;89;81;65;76;38;84;84;80;1;"Milieu__droit"
"114";"#230666";"Gabriel Jesus";23;175;73;83;34500000;150000;85;82;72;87;42;71;66;85;77;77;77;86;76;54;66;86;87;83;91;87;90;81;78;79;65;76;73;32;87;77;75;81;30;28;1;"Attaquant"
"115";"#227928";"Nélson Semedo";26;177;67;83;28000000;170000;92;57;69;82;77;76;76;50;58;76;42;82;61;30;65;81;91;93;87;82;81;74;79;92;66;60;81;81;72;62;38;79;81;80;1;"arriere_droit"
"116";"#204923";"M. Sabitzer";26;178;76;83;31000000;73000;80;83;80;80;65;78;74;81;60;83;82;79;75;78;79;82;76;83;75;86;80;88;71;84;76;88;77;64;83;83;65;80;64;59;1;"Milieu__gauche"
"117";"#219693";"Diego Carlos";27;185;86;83;27000000;39000;77;47;63;67;82;83;35;32;79;76;34;65;47;71;74;71;78;76;68;82;55;73;82;74;86;57;85;84;52;63;41;75;82;81;1;"arriere_central"
"118";"#192774";"K. Manolas";29;189;83;83;24500000;84000;82;25;42;60;85;79;27;25;80;60;16;54;30;10;61;65;80;83;67;81;60;40;86;69;81;12;86;86;25;22;26;83;85;87;1;"arriere_central"
"119";"#216594";"N. Fekir";26;173;75;83;30500000;38000;79;82;81;87;38;79;79;82;49;84;77;88;83;79;77;87;80;79;81;79;91;84;64;79;81;83;79;34;83;82;74;89;42;30;0;"Milieu__droit"
"120";"#41236";"Z. Ibrahimović";38;195;95;83;9500000;49000;52;88;77;79;34;77;68;86;80;78;88;80;80;78;73;86;53;52;71;82;39;90;67;54;87;88;84;20;91;84;89;90;37;24;1;"Attaquant"
